service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8,1,1,1,1,1,0,0,20260428,20260727
10,0,0,0,0,1,0,0,20260428,20260727
13,1,1,1,1,1,0,0,20260428,20260727
14,0,0,0,0,0,1,0,20260428,20260727
15,1,1,1,1,1,0,0,20260428,20260727
19,0,0,1,0,0,0,0,20260428,20260727
20,0,0,0,0,0,0,1,20260428,20260727
21,0,0,0,0,0,0,1,20260428,20260727
23,1,0,0,0,0,0,0,20260428,20260727
25,0,0,0,1,0,0,0,20260428,20260727
28,1,1,1,1,1,0,0,20260428,20260727
29,1,1,1,1,1,0,0,20260428,20260727
32,1,1,1,1,1,0,0,20260428,20260727
35,0,0,0,1,0,0,0,20260428,20260727
36,0,0,0,0,1,0,0,20260428,20260727
38,1,1,1,1,0,0,0,20260428,20260727
39,0,1,1,1,1,0,0,20260428,20260727
41,1,0,1,1,1,0,0,20260428,20260727
42,1,1,0,1,1,0,0,20260428,20260727
53,1,1,1,0,0,0,0,20260428,20260727
61,1,0,1,0,1,0,0,20260428,20260727
62,0,1,0,1,0,0,0,20260428,20260727
71,1,0,0,0,0,0,0,20260428,20260727
72,0,1,0,0,0,0,0,20260428,20260727
73,0,0,1,0,0,0,0,20260428,20260727
80,1,0,0,0,1,0,0,20260428,20260727
134,1,0,0,0,0,0,0,20260428,20260727
143,1,1,1,1,0,0,0,20260428,20260727
164,0,0,0,0,0,1,0,20260428,20260727
165,0,0,0,0,0,0,1,20260428,20260727
178,0,1,0,1,0,0,0,20260428,20260727
182,0,1,0,1,0,0,0,20260428,20260727
183,0,0,0,0,0,1,1,20260428,20260727
184,0,0,0,0,0,0,1,20260428,20260727
197,0,0,0,0,1,0,0,20260428,20260727
202,0,0,0,1,0,0,0,20260428,20260727
203,0,1,0,0,1,0,0,20260428,20260727
204,0,1,0,0,0,0,0,20260428,20260727
205,0,0,0,0,0,0,1,20260428,20260727
206,1,0,0,1,0,0,0,20260428,20260727
207,1,1,1,1,1,0,1,20260428,20260727
208,0,0,0,0,0,1,0,20260428,20260727
209,0,0,0,0,1,0,0,20260428,20260727
210,1,1,1,1,1,0,0,20260428,20260727
211,0,0,0,0,0,0,1,20260428,20260727
212,0,0,0,1,0,0,0,20260428,20260727
213,0,1,0,0,0,0,0,20260428,20260727
215,0,0,0,0,0,0,1,20260428,20260727
216,0,0,0,0,0,1,0,20260428,20260727
217,0,0,1,0,1,0,0,20260428,20260727
218,1,0,0,1,0,0,0,20260428,20260727
219,1,1,0,1,0,1,1,20260428,20260727
220,0,1,1,0,1,1,1,20260428,20260727
221,0,0,0,0,0,1,0,20260428,20260727
223,0,0,0,0,0,0,0,20260428,20260727
224,1,0,0,0,1,0,0,20260428,20260727
225,0,0,1,0,0,0,0,20260428,20260727
226,0,0,0,0,1,0,0,20260428,20260727
227,0,0,0,0,0,0,1,20260428,20260727
228,0,0,0,0,0,0,1,20260428,20260727
229,0,1,0,0,0,0,0,20260428,20260727
230,0,0,0,0,0,1,0,20260428,20260727
231,0,0,1,0,0,0,0,20260428,20260727
232,0,0,0,1,0,0,0,20260428,20260727
233,0,0,1,0,0,0,0,20260428,20260727
234,0,0,0,1,0,0,0,20260428,20260727
237,0,0,0,0,1,0,0,20260428,20260727
238,1,0,1,0,0,0,0,20260428,20260727
239,0,0,1,0,1,0,0,20260428,20260727
240,1,0,0,0,0,0,0,20260428,20260727
241,0,1,0,0,1,0,0,20260428,20260727
242,1,0,0,1,0,0,0,20260428,20260727
243,0,1,0,1,0,1,0,20260428,20260727
244,0,1,0,1,0,1,0,20260428,20260727
245,1,0,1,0,1,0,0,20260428,20260727
246,0,0,0,0,0,0,1,20260428,20260727
247,0,0,0,0,0,0,1,20260428,20260727
248,1,0,0,1,0,0,0,20260428,20260727
249,0,1,0,0,1,0,0,20260428,20260727
250,1,1,1,1,1,0,0,20260428,20260727
252,1,1,1,1,1,1,0,20260428,20260727
254,0,0,0,0,0,0,1,20260428,20260727
255,0,0,0,0,0,0,1,20260428,20260727
256,0,0,0,0,1,0,0,20260428,20260727
257,0,0,0,0,1,0,0,20260428,20260727
262,0,0,1,0,1,0,0,20260428,20260727
263,1,0,1,0,1,0,0,20260428,20260727
264,0,1,0,0,0,0,0,20260428,20260727
265,0,0,0,1,0,0,0,20260428,20260727
266,0,1,0,0,0,1,0,20260428,20260727
267,0,1,0,0,0,0,0,20260428,20260727
268,1,0,0,0,0,0,0,20260428,20260727
269,0,0,0,0,0,1,0,20260428,20260727
271,0,1,0,1,0,1,0,20260428,20260727
272,1,1,1,1,1,1,0,20260428,20260727
285,0,0,0,0,1,0,0,20260428,20260727
286,0,0,0,0,1,0,0,20260428,20260727
287,0,0,0,0,0,1,0,20260428,20260727
288,0,0,0,0,0,0,1,20260428,20260727
336,1,1,1,1,1,0,0,20260428,20260727
337,1,1,1,1,1,0,0,20260428,20260727
338,1,0,1,0,1,0,0,20260428,20260727
339,1,0,0,0,0,0,0,20260428,20260727
340,0,0,1,0,0,0,0,20260428,20260727
341,0,0,0,0,1,0,0,20260428,20260727
342,0,1,0,1,0,1,0,20260428,20260727
343,0,1,0,1,0,1,0,20260428,20260727
344,1,0,0,0,0,0,0,20260428,20260727
345,1,0,0,0,0,0,0,20260428,20260727
346,0,0,0,0,1,0,0,20260428,20260727
347,0,0,0,0,1,0,0,20260428,20260727
348,0,0,0,0,0,1,0,20260428,20260727
349,0,0,0,0,0,1,0,20260428,20260727
350,1,0,1,0,1,0,0,20260428,20260727
351,1,0,1,0,1,0,0,20260428,20260727
352,1,1,1,1,1,0,0,20260428,20260727
353,1,1,1,1,1,0,0,20260428,20260727
357,1,1,1,1,1,0,0,20260428,20260727
358,1,1,1,1,1,0,0,20260428,20260727
359,1,1,1,1,1,0,0,20260428,20260727
360,1,1,1,1,1,0,0,20260428,20260727
361,1,1,1,1,1,0,0,20260428,20260727
362,1,1,1,1,1,0,0,20260428,20260727
363,0,0,0,0,1,0,0,20260428,20260727
364,0,0,0,0,1,0,0,20260428,20260727
365,0,0,0,0,1,0,0,20260428,20260727
366,0,0,0,0,1,0,0,20260428,20260727
367,0,0,0,0,1,0,0,20260428,20260727
368,0,0,0,0,1,0,0,20260428,20260727
369,0,0,0,0,0,1,0,20260428,20260727
370,0,0,0,0,0,1,0,20260428,20260727
371,0,0,0,0,0,1,0,20260428,20260727
372,0,0,0,0,0,1,0,20260428,20260727
373,0,0,0,0,0,1,0,20260428,20260727
374,0,0,0,0,0,1,0,20260428,20260727
375,0,0,0,0,0,0,1,20260428,20260727
376,0,0,0,0,0,0,1,20260428,20260727
377,0,0,0,0,0,0,1,20260428,20260727
378,0,0,0,0,0,0,1,20260428,20260727
379,0,0,0,0,0,0,1,20260428,20260727
380,0,0,0,0,0,0,1,20260428,20260727
391,0,0,0,0,0,1,0,20260428,20260727
395,0,0,0,0,0,0,0,20260428,20260727
400,0,0,0,0,0,1,0,20260428,20260727
405,0,0,0,0,0,1,0,20260428,20260727
413,0,0,0,1,0,0,0,20260428,20260727
414,1,0,1,0,1,0,0,20260428,20260727
415,1,0,1,0,1,0,0,20260428,20260727
444,0,1,0,1,0,0,0,20260428,20260727
473,1,1,1,1,1,0,0,20260428,20260727
474,1,1,1,1,1,0,0,20260428,20260727
475,0,0,0,1,0,0,0,20260428,20260727
476,0,0,0,0,1,0,0,20260428,20260727
477,0,0,0,0,0,1,0,20260428,20260727
478,1,1,1,1,1,0,0,20260428,20260727
479,0,0,0,0,0,1,0,20260428,20260727
480,0,0,0,0,1,0,0,20260428,20260727
482,0,0,0,0,0,1,0,20260428,20260727
487,0,0,0,0,0,0,1,20260428,20260727
488,1,1,1,1,1,0,0,20260428,20260727
493,1,1,1,1,1,0,0,20260428,20260727
498,0,0,0,0,0,0,1,20260428,20260727
499,0,0,1,0,0,0,0,20260428,20260727
500,0,1,0,0,0,0,0,20260428,20260727
502,1,1,0,1,1,0,0,20260428,20260727
503,1,0,1,1,1,0,0,20260428,20260727
522,0,0,0,0,0,1,0,20260428,20260727
610,1,1,1,1,1,0,0,20260428,20260727
611,0,0,0,0,1,0,0,20260428,20260727
612,0,0,0,0,0,1,0,20260428,20260727
613,0,0,0,0,0,0,1,20260428,20260727
614,0,0,0,0,0,0,1,20260428,20260727
623,0,0,0,0,0,1,0,20260428,20260727
624,0,0,0,0,0,1,0,20260428,20260727
626,0,0,0,0,0,1,0,20260428,20260727
639,0,0,0,0,0,1,0,20260428,20260727
640,0,0,0,0,0,1,0,20260428,20260727
646,0,0,0,0,0,1,0,20260428,20260727
651,0,0,0,0,0,1,0,20260428,20260727
661,0,0,0,0,0,1,0,20260428,20260727
712,1,1,1,1,1,0,0,20260428,20260727
716,0,1,1,1,0,0,0,20260428,20260727
717,1,0,0,0,0,0,0,20260428,20260727
718,1,0,1,0,0,0,0,20260428,20260727
719,1,0,1,0,1,0,0,20260428,20260727
729,0,0,0,0,0,1,0,20260428,20260727
738,1,1,0,1,0,0,0,20260428,20260727
739,0,0,1,0,1,0,0,20260428,20260727
762,1,1,0,1,0,0,0,20260428,20260727
776,0,0,0,0,0,0,0,20260428,20260727
777,0,0,0,0,0,0,0,20260428,20260727
778,0,0,0,0,0,0,0,20260428,20260727
779,0,0,0,0,0,0,0,20260428,20260727
780,0,0,0,0,0,0,0,20260428,20260727
781,0,0,0,0,0,0,0,20260428,20260727
782,0,0,0,0,0,0,0,20260428,20260727
783,0,0,0,0,0,0,0,20260428,20260727
784,0,0,0,0,0,0,0,20260428,20260727
796,1,1,1,1,0,0,0,20260428,20260727
801,0,0,0,1,0,0,0,20260428,20260727
822,0,0,0,0,0,0,1,20260428,20260727
823,0,0,0,0,0,1,0,20260428,20260727
824,1,1,1,1,1,0,0,20260428,20260727
825,0,0,0,0,1,0,0,20260428,20260727
846,0,0,0,0,0,1,0,20260428,20260727
856,0,0,0,0,0,1,0,20260428,20260727
859,0,0,0,0,0,1,0,20260428,20260727
860,0,0,0,0,0,1,0,20260428,20260727
867,0,0,0,0,0,1,0,20260428,20260727
888,0,0,0,0,0,1,0,20260428,20260727
895,0,0,0,0,0,1,0,20260428,20260727
898,0,0,0,0,0,1,0,20260428,20260727
910,0,0,0,0,0,1,0,20260428,20260727
930,0,0,0,0,0,0,1,20260428,20260727
942,0,0,0,0,0,1,0,20260428,20260727
954,0,0,0,0,0,1,0,20260428,20260727
978,0,0,0,0,0,1,0,20260428,20260727
986,0,0,0,0,0,1,0,20260428,20260727
992,0,0,0,0,0,1,0,20260428,20260727
996,0,0,0,0,0,1,0,20260428,20260727
1008,0,0,0,0,0,1,0,20260428,20260727
S103708_32,1,1,1,1,1,0,0,20260428,20260516
S103708_21,0,0,0,0,0,0,1,20260428,20260516
S103708_14,0,0,0,0,0,1,0,20260428,20260516
S123314_32,1,1,1,1,1,0,0,20260517,20260727
S123314_21,0,0,0,0,0,0,1,20260517,20260727
S123314_14,0,0,0,0,0,1,0,20260517,20260727
S118098_32,1,1,1,1,1,0,0,20260428,20260516
S118098_14,0,0,0,0,0,1,0,20260428,20260516
S123315_32,1,1,1,1,1,0,0,20260517,20260727
S123315_14,0,0,0,0,0,1,0,20260517,20260727
S103710_15,1,1,1,1,1,0,0,20260428,20260516
S123316_15,1,1,1,1,1,0,0,20260517,20260727
S103711_15,1,1,1,1,1,0,0,20260428,20260516
S123317_15,1,1,1,1,1,0,0,20260517,20260727
S113755_21,0,0,0,0,0,0,1,20260428,20260516
S113755_32,1,1,1,1,1,0,0,20260428,20260516
S113755_14,0,0,0,0,0,1,0,20260428,20260516
S123318_21,0,0,0,0,0,0,1,20260517,20260727
S123318_32,1,1,1,1,1,0,0,20260517,20260727
S123318_14,0,0,0,0,0,1,0,20260517,20260727
S113756_32,1,1,1,1,1,0,0,20260428,20260516
S123319_32,1,1,1,1,1,0,0,20260517,20260727
S103714_32,1,1,1,1,1,0,0,20260428,20260516
S103714_21,0,0,0,0,0,0,1,20260428,20260516
S103714_14,0,0,0,0,0,1,0,20260428,20260516
S103714_13,1,1,1,1,1,0,0,20260428,20260516
S123320_32,1,1,1,1,1,0,0,20260517,20260727
S123320_21,0,0,0,0,0,0,1,20260517,20260727
S123320_14,0,0,0,0,0,1,0,20260517,20260727
S123320_13,1,1,1,1,1,0,0,20260517,20260727
S103715_15,1,1,1,1,1,0,0,20260428,20260516
S123321_15,1,1,1,1,1,0,0,20260517,20260727
S103716_15,1,1,1,1,1,0,0,20260428,20260516
S123322_15,1,1,1,1,1,0,0,20260517,20260727
S103717_32,1,1,1,1,1,0,0,20260428,20260516
S123323_32,1,1,1,1,1,0,0,20260517,20260727
S103718_15,1,1,1,1,1,0,0,20260428,20260516
S123324_15,1,1,1,1,1,0,0,20260517,20260727
S103719_15,1,1,1,1,1,0,0,20260428,20260516
S123325_15,1,1,1,1,1,0,0,20260517,20260727
S103720_15,1,1,1,1,1,0,0,20260428,20260516
S123326_15,1,1,1,1,1,0,0,20260517,20260727
S103721_15,1,1,1,1,1,0,0,20260428,20260516
S123327_15,1,1,1,1,1,0,0,20260517,20260727
S103722_32,1,1,1,1,1,0,0,20260428,20260516
S103722_21,0,0,0,0,0,0,1,20260428,20260516
S103722_14,0,0,0,0,0,1,0,20260428,20260516
S103722_13,1,1,1,1,1,0,0,20260428,20260516
S123328_32,1,1,1,1,1,0,0,20260517,20260727
S123328_21,0,0,0,0,0,0,1,20260517,20260727
S123328_14,0,0,0,0,0,1,0,20260517,20260727
S123328_13,1,1,1,1,1,0,0,20260517,20260727
S103723_15,1,1,1,1,1,0,0,20260428,20260516
S123329_15,1,1,1,1,1,0,0,20260517,20260727
S103724_15,1,1,1,1,1,0,0,20260428,20260516
S123330_15,1,1,1,1,1,0,0,20260517,20260727
S103725_15,1,1,1,1,1,0,0,20260428,20260516
S123331_15,1,1,1,1,1,0,0,20260517,20260727
S103726_15,1,1,1,1,1,0,0,20260428,20260516
S123332_15,1,1,1,1,1,0,0,20260517,20260727
S108253_32,1,1,1,1,1,0,0,20260428,20260516
S123333_32,1,1,1,1,1,0,0,20260517,20260727
